year,geo_name,geo,income
2016,"Census Tract 478.02","14000US06075047802",75091.0
2016,"Census Tract 479.01","14000US06075047901",67407.0
2016,"Census Tract 479.02","14000US06075047902",74500.0
2016,"Census Tract 601","14000US06075060100",175259.0
2016,"Census Tract 604","14000US06075060400",44200.0
2016,"Census Tract 605.02","14000US06075060502",25434.0
2016,"Census Tract 607","14000US06075060700",114597.0
2016,"Census Tract 610","14000US06075061000",101667.0
2016,"Census Tract 611","14000US06075061100",17218.0
2016,"Census Tract 612","14000US06075061200",51818.0
2016,"Census Tract 614","14000US06075061400",137469.0
2016,"Census Tract 615","14000US06075061500",162690.0
2016,"Census Tract 9802","14000US06075980200",150000.0
2016,"Census Tract 9803","14000US06075980300",106944.0
2016,"Census Tract 9804.01","14000US06075980401",None
2016,"Census Tract 9805.01","14000US06075980501",16473.0
2016,"Census Tract 9806","14000US06075980600",None
2016,"Census Tract 9809","14000US06075980900",101000.0
2016,"Census Tract 9901","14000US06075990100",None
